iter	Logloss
0	0.6874298559
1	0.6824965066
2	0.677825191
3	0.6736412925
4	0.6699206969
5	0.6664989871
6	0.663240004
7	0.6602153227
8	0.6574735816
9	0.6548603082
10	0.6524521256
11	0.6502789094
12	0.648145536
13	0.6461035305
14	0.6442091639
15	0.6424618881
16	0.6407325046
17	0.6391273779
18	0.6377098186
19	0.6363125914
20	0.6351074608
21	0.6338597186
22	0.6328176234
23	0.6318247357
24	0.6309152597
25	0.6298213174
26	0.6290238161
27	0.6282852547
28	0.6276497638
29	0.6267568587
30	0.6258890077
31	0.6251222969
32	0.6243390286
33	0.623602132
34	0.6229210031
35	0.6223509616
36	0.6218083816
37	0.6211847342
38	0.6205971363
39	0.6200118812
40	0.6194275626
41	0.618829558
42	0.6182919204
43	0.6178226986
44	0.6173164747
45	0.6167562699
46	0.6162524735
47	0.6158106237
48	0.6153449886
49	0.6148674543
50	0.6144931354
51	0.6140894358
52	0.6137644575
53	0.6133514176
54	0.6129962889
55	0.6126174702
56	0.6121830524
57	0.6118464171
58	0.6114379846
59	0.6110469121
60	0.6107180265
61	0.6103987991
62	0.6100748033
63	0.6098168114
64	0.6095022027
65	0.6092584194
66	0.6089978593
67	0.6087981694
68	0.6085290293
69	0.608315417
70	0.6080124935
71	0.6076914544
72	0.6074502502
73	0.6072303715
74	0.6070336924
75	0.6068505366
76	0.6066269132
77	0.6062493122
78	0.6060306168
79	0.6057485919
80	0.6055355298
81	0.6053293795
82	0.60517163
83	0.6049861143
84	0.6047839882
85	0.6045639966
86	0.6042622086
87	0.6040737485
88	0.603902543
89	0.6037262951
90	0.603554061
91	0.6033758609
92	0.6032296641
93	0.6030716391
94	0.6029614866
95	0.6027797111
96	0.6026233341
97	0.6023978967
98	0.6022547289
99	0.6020995793
100	0.6019183981
101	0.6018070103
102	0.6016743981
103	0.6015783184
104	0.6014306661
105	0.601195752
106	0.6010899863
107	0.6009551253
108	0.6008483435
109	0.6007246573
110	0.6005797799
111	0.6003837054
112	0.6002793722
113	0.6000822739
114	0.5999858863
115	0.5998626809
116	0.599744142
117	0.5996497324
118	0.5995590178
119	0.5994451373
120	0.5992818974
121	0.5991370887
122	0.5990486382
123	0.5989372025
124	0.5988495014
125	0.5987671772
126	0.5985675271
127	0.5984008982
128	0.5983163764
129	0.5982076715
130	0.5981229937
131	0.5980535632
132	0.5979795936
133	0.5978887517
134	0.5978002972
135	0.5977121716
136	0.5976493247
137	0.5974890058
138	0.5974040097
139	0.5973262686
140	0.5972367859
141	0.59715445
142	0.5970689329
143	0.5970074999
144	0.5969364492
145	0.5968788897
146	0.5967924388
147	0.5967436064
148	0.5966755275
149	0.5966054259
150	0.5965630169
151	0.5965139336
152	0.5964607191
153	0.5963294882
154	0.5962515277
155	0.5961315928
156	0.5960537278
157	0.5959993316
158	0.5959467361
159	0.5958713455
160	0.5958160211
161	0.5957640593
162	0.5957007803
163	0.5956383203
164	0.5956054739
165	0.5955679551
166	0.5955156567
167	0.5954301087
168	0.5953947504
169	0.5953042575
170	0.5952111787
171	0.5951475835
172	0.5950985211
173	0.5950270282
174	0.5949775611
175	0.5949200354
176	0.5948513587
177	0.5947866294
178	0.5947384883
179	0.5946942289
180	0.5946379536
181	0.5946017459
182	0.5945336804
183	0.5944813915
184	0.5944226133
185	0.5943679032
186	0.5943187297
187	0.5942705272
188	0.594163746
189	0.5940114296
190	0.5939456951
191	0.5938953185
192	0.5938449806
193	0.593747054
194	0.5936816709
195	0.5936403283
196	0.5935985579
197	0.5935490402
198	0.5935271462
199	0.5934839828
200	0.5934023411
201	0.5933647938
202	0.5933176299
203	0.5932662648
204	0.5931577314
205	0.59311111
206	0.5930830825
207	0.5930382117
208	0.5929787896
209	0.5929181951
210	0.5928785477
211	0.5928265292
212	0.5927672703
213	0.5927328746
214	0.5926666772
215	0.5926347064
216	0.5925831249
217	0.5924735015
218	0.5924256112
219	0.5923869674
220	0.5923359806
221	0.5922838542
222	0.5922277605
223	0.5920839678
224	0.592035838
225	0.5919655299
226	0.5919111462
227	0.5918741704
228	0.5918105051
229	0.5916867082
230	0.5916471716
231	0.591608997
232	0.5915663633
233	0.5915278869
234	0.5914905904
235	0.5914502069
236	0.591399108
237	0.5913680115
238	0.5913224864
239	0.5912712633
240	0.5912354871
241	0.5911026627
242	0.5910591404
243	0.5910045548
244	0.5909607139
245	0.5909191784
246	0.5908643528
247	0.5908148862
248	0.5907794992
249	0.5907341715
250	0.5906877756
251	0.5906453854
252	0.5906017917
253	0.5905624161
254	0.5904883734
255	0.5904360323
256	0.5903941316
257	0.5902834048
258	0.5902280318
259	0.5901658799
260	0.5901281069
261	0.5900438497
262	0.5899983057
263	0.5899608172
264	0.5898870606
265	0.5898450191
266	0.589803769
267	0.5897029026
268	0.5896365319
269	0.5895930483
270	0.5895479725
271	0.5895040762
272	0.5894370136
273	0.5893869452
274	0.5893341452
275	0.5892910691
276	0.589242606
277	0.5891649108
278	0.5891161909
279	0.5890713099
280	0.5890330434
281	0.5889936579
282	0.588954456
283	0.5888608059
284	0.5888245606
285	0.5887809063
286	0.5887361705
287	0.5886962198
288	0.5886476878
289	0.5886119887
290	0.5885680074
291	0.588488816
292	0.5884212278
293	0.5883560864
294	0.5883168705
295	0.5882659893
296	0.5882204463
297	0.5881555226
298	0.5881163871
299	0.5880376728
