iter	Passed	Remaining
0	163	48900
1	196	29251
2	232	23023
3	272	20133
4	310	18321
5	351	17212
6	391	16390
7	435	15894
8	473	15307
9	509	14787
10	546	14363
11	584	14016
12	624	13784
13	665	13596
14	707	13438
15	747	13265
16	784	13066
17	824	12923
18	873	12916
19	912	12776
20	950	12621
21	986	12471
22	1021	12302
23	1061	12204
24	1100	12104
25	1135	11969
26	1170	11835
27	1206	11723
28	1244	11631
29	1284	11557
30	1326	11513
31	1365	11436
32	1401	11337
33	1435	11231
34	1468	11120
35	1506	11044
36	1550	11022
37	1587	10947
38	1621	10852
39	1655	10763
40	1695	10710
41	1733	10646
42	1780	10642
43	1815	10565
44	1851	10491
45	1886	10414
46	1926	10371
47	1968	10335
48	2012	10310
49	2052	10264
50	2088	10196
51	2128	10152
52	2170	10113
53	2211	10075
54	2248	10014
55	2288	9973
56	2334	9950
57	2368	9880
58	2408	9836
59	2445	9780
60	2485	9736
61	2521	9680
62	2559	9629
63	2597	9577
64	2634	9526
65	2671	9473
66	2717	9451
67	2757	9406
68	2793	9350
69	2829	9297
70	2864	9238
71	2900	9184
72	2943	9152
73	2982	9109
74	3022	9068
75	3058	9014
76	3096	8969
77	3134	8921
78	3185	8911
79	3223	8863
80	3265	8827
81	3303	8782
82	3338	8727
83	3380	8693
84	3419	8649
85	3456	8602
86	3494	8555
87	3526	8494
88	3560	8441
89	3602	8404
90	3640	8361
91	3682	8324
92	3719	8277
93	3753	8226
94	3790	8179
95	3829	8137
96	3866	8091
97	3906	8052
98	3943	8006
99	3978	7957
100	4014	7910
101	4058	7878
102	4098	7839
103	4135	7793
104	4173	7750
105	4208	7703
106	4243	7654
107	4278	7606
108	4319	7568
109	4356	7524
110	4390	7475
111	4428	7434
112	4463	7387
113	4499	7341
114	4541	7306
115	4575	7258
116	4610	7210
117	4648	7169
118	4684	7124
119	4720	7080
120	4761	7043
121	4801	7004
122	4839	6963
123	4883	6930
124	4920	6889
125	4957	6846
126	4995	6804
127	5031	6761
128	5073	6725
129	5108	6680
130	5141	6633
131	5185	6599
132	5219	6553
133	5256	6511
134	5294	6470
135	5327	6424
136	5365	6383
137	5408	6348
138	5459	6324
139	5508	6295
140	5557	6266
141	5602	6234
142	5645	6197
143	5692	6167
144	5737	6133
145	5778	6095
146	5815	6052
147	5856	6014
148	5899	5978
149	5944	5944
150	5984	5905
151	6022	5863
152	6059	5821
153	6098	5781
154	6147	5751
155	6189	5712
156	6238	5682
157	6278	5642
158	6318	5602
159	6361	5566
160	6403	5528
161	6441	5486
162	6476	5443
163	6514	5402
164	6551	5360
165	6590	5320
166	6631	5281
167	6666	5237
168	6702	5195
169	6745	5158
170	6791	5123
171	6831	5083
172	6866	5040
173	6911	5004
174	6954	4967
175	6986	4922
176	7022	4879
177	7057	4837
178	7094	4795
179	7131	4754
180	7172	4715
181	7206	4672
182	7245	4632
183	7284	4592
184	7319	4550
185	7357	4509
186	7395	4468
187	7430	4426
188	7471	4388
189	7512	4349
190	7550	4308
191	7590	4269
192	7624	4227
193	7665	4188
194	7704	4148
195	7740	4107
196	7782	4069
197	7822	4029
198	7858	3988
199	7894	3947
200	7939	3910
201	7975	3869
202	8009	3827
203	8046	3786
204	8085	3746
205	8122	3706
206	8160	3666
207	8200	3627
208	8235	3585
209	8273	3545
210	8313	3506
211	8353	3467
212	8391	3427
213	8429	3387
214	8473	3349
215	8523	3314
216	8571	3278
217	8620	3242
218	8665	3204
219	8707	3166
220	8753	3129
221	8795	3090
222	8846	3054
223	8895	3018
224	8940	2980
225	8983	2941
226	9025	2902
227	9073	2865
228	9118	2827
229	9161	2788
230	9206	2749
231	9256	2713
232	9307	2676
233	9372	2643
234	9427	2607
235	9482	2571
236	9532	2534
237	9576	2494
238	9621	2455
239	9660	2415
240	9695	2373
241	9734	2333
242	9773	2292
243	9810	2251
244	9849	2211
245	9889	2170
246	9934	2131
247	9982	2093
248	10025	2053
249	10067	2013
250	10110	1973
251	10156	1934
252	10209	1896
253	10252	1856
254	10293	1816
255	10337	1776
256	10379	1736
257	10424	1696
258	10470	1657
259	10510	1617
260	10549	1576
261	10589	1535
262	10629	1495
263	10669	1454
264	10707	1414
265	10745	1373
266	10790	1333
267	10831	1293
268	10873	1253
269	10915	1212
270	10958	1172
271	10999	1132
272	11039	1091
273	11083	1051
274	11120	1010
275	11164	970
276	11203	930
277	11245	889
278	11282	849
279	11322	808
280	11368	768
281	11417	728
282	11463	688
283	11507	648
284	11549	607
285	11593	567
286	11633	526
287	11675	486
288	11713	445
289	11755	405
290	11795	364
291	11840	324
292	11887	284
293	11931	243
294	11972	202
295	12007	162
296	12041	121
297	12079	81
298	12121	40
299	12156	0
